x1,x2,x3,O_Sum
-1.505327657581182876e+01,8.672698005832064183e+00,4.800938488625651424e+00,3.568672000979946191e+00
7.073770028575692592e+00,-3.069153612972043366e+00,2.347286396607356451e+01,5.756238994902949990e+00
-1.999717294629562403e+01,1.058266339737957118e+01,-1.061940509856615655e+01,2.173308010976252369e+00
-1.213291734507660280e+01,7.002962426203040991e+00,-1.343171746443508496e+01,5.392542298193945260e-01
-1.540136762290131189e+00,1.637799645486021660e+01,1.137384191140216139e+01,7.397419870611950721e+00
-1.110498971907774468e+00,1.322005060558748113e+00,7.615960476343324181e+00,8.999999999472123591e+00
7.360851962387960690e+00,-3.610997887551875341e+00,-9.902114378265668648e+00,3.054179404903729189e+00
6.507569583297182492e-01,-1.004278976640663457e+00,-8.759956526737381344e-01,8.999999999993354649e+00
-3.308019707665483811e+00,-1.750334425797825588e+01,-4.466177636989908883e+00,8.442423701052927498e+00
5.121080045050939944e+00,5.517114372683461498e-01,1.240895058738798973e+01,8.974126092673419208e+00
5.624785102840640150e+00,2.291223124326289273e+00,-1.502312485599576197e+00,8.999997696122271407e+00
-1.977691957290253155e+00,1.596021030828944864e+00,-4.919952022549208159e+00,8.999999903106067123e+00
4.186993873807760558e+00,3.651133951851552428e+00,-9.344887695588351972e-01,8.999990472536689268e+00
5.756414045522382228e-01,2.588238774390719144e+00,1.092405165763079467e+01,8.999999693156050640e+00
1.277517246928300665e+01,-3.490071899552255275e+00,-1.035996016648778273e+01,2.705746190677283280e+00
9.215699597804855259e+00,-5.599205680557943765e+00,1.482296240220760808e+01,2.845813777604440986e+00
1.290850173270828272e+01,-1.953012402608720333e+00,-2.076708633979258867e+00,8.999992692022182439e+00
-9.644230281222072598e-01,-2.557914108362276284e+00,9.965350500961184244e-01,8.999999999995969446e+00
3.402838253936551371e+00,3.074044586409788948e+00,7.566710664503244199e-02,8.999999998897811437e+00
-1.000558852570451229e+01,6.582933482454608409e+00,1.005477228537586853e+01,2.693450439170405608e-02
3.109073377677525896e-01,1.280072967933683303e+00,3.732860415322732384e-01,8.999999999999237943e+00
-5.529475201853555788e+00,1.038967450957788685e+01,-8.701286084524681996e+00,1.198073265097532536e+00
7.260173215684075920e-01,-1.080881590316185026e+01,-7.988809920246493945e+00,6.940023286416607817e+00
2.702176565704682787e+00,1.102195781346249781e+01,7.178506167521328862e+00,4.475884830569429873e+00
-1.815140526473055971e+01,-7.878194730257657596e+00,-1.303846307864298026e+01,1.207428536490669169e+00
-1.606977361820467021e+00,-1.147638384118250254e+00,-2.447508576152464865e+00,9.000000000003858247e+00
3.240962176343411549e+00,-1.890378123013442746e+01,3.995564059718478500e+00,8.788537897365658935e+00
1.814837991890362545e+01,-7.577290002151668702e+00,7.273066809153730716e+00,4.009531552176000879e+00
-1.566011021866246189e+01,4.539257074214363974e-01,2.755508487918958860e+00,8.999999469012653464e+00
3.914312658586332816e+00,3.690520478814637961e+00,4.798346100580860529e+00,8.825754851246209398e+00
1.150613151925165489e+01,8.438416588754623859e+00,2.028884304634861024e+01,2.393907462944136810e+00
6.758252938148683775e+00,-1.100810881238711936e+01,-7.690485769794571880e+00,2.175716612386283000e+00
4.175517127905606252e+00,1.629030856130163940e+01,-1.542775876184416894e+01,4.048968148790739185e+00
1.289056417170177937e+01,-4.232610085256651722e+00,-3.876814637038324740e+00,8.100403422630581218e+00
1.924892481442198644e+01,-1.039770984281008559e+01,-6.799071840011803758e+00,3.010419547043390320e+00
1.190930718713947012e-01,1.379328462549836232e+01,1.875353907912245432e+01,8.911192191875391799e+00
5.012167988570740640e+00,-9.896599706247123152e+00,8.616719718311404819e+00,1.021362699421169085e+00
7.930861586390361317e+00,2.563303612323560188e+00,1.135116800160723916e+00,8.999995443615153690e+00
-8.881949540026760070e-01,-7.396423103412801403e-01,4.087022334678414914e+00,8.999999999987558397e+00
-6.420384164283979844e-01,1.096154609735277896e+00,-1.209486558245348675e+01,8.999999999999207745e+00
7.234665412935560092e+00,-3.287140365315248225e+00,2.230455185743807078e+01,5.564559221463427185e+00
-8.443481274421369420e+00,-2.427158208369844417e+00,2.141566666319662104e+01,5.545047894639409058e+00
-4.475697392398159558e+00,-3.094723766216299854e+00,-1.173793177555254630e+01,8.539033282871226760e+00
-1.033384081796744347e+00,1.410230909554728573e-01,-7.558392109580687190e+00,8.999999999983385734e+00
3.915165249585124574e+00,-9.262441262179871515e+00,-3.284044609175906099e-02,8.998332652998428216e+00
9.298960305685822547e+00,5.360589064949996541e+00,3.761327397218313884e+00,6.140471564737612908e+00
-1.678453136938138002e+01,-4.004848402145314346e+00,1.734618928350551315e+01,4.793191531853691956e+00
-1.058258464788246478e+00,1.172566105286040772e+00,8.969082026363867755e+00,8.999999999923911531e+00
-3.938898680928718532e-01,-4.537993987306494503e-01,8.919807325983162283e-01,8.999999999999527489e+00
1.184480991701225960e+01,-1.063623835755286962e+01,3.158190074714407825e+00,3.263787544132199514e+00
-3.115400812426332600e+00,4.478855890863050249e+00,2.323950004923516222e+00,8.999729747440790462e+00
-3.263798771222508055e-01,-9.713348269479563646e-01,3.772056452161983930e+00,9.000000000000140332e+00
-2.135871520636473342e+00,1.411402039689225596e+01,1.056035007889001953e+01,5.520978642180832452e+00
6.800653791564627682e+00,-1.649671935689415392e+01,-1.451976110967367450e+00,6.588937226989710183e+00
5.240704747327180613e+00,-2.144130678205597462e+01,-7.472461347097108408e+00,4.922590295130966354e+00
-2.668413457813314515e-01,6.079763051069051460e-01,-5.356430588331369869e+00,8.999999999982973620e+00
-9.393398643629184974e+00,3.562731282604762573e+00,7.940881150130185695e+00,2.023752063905119858e+00
5.106323068276952259e-01,2.681254200912022156e-01,-3.505845842200894791e-01,8.999999999998848921e+00
-1.889964246589465802e+01,6.284014622996361155e-01,-1.037706484349740954e+01,8.627776557984191186e+00
-7.068281884000036541e+00,-1.305523749094624542e+01,4.642534021634917352e+00,4.275648008017648216e+00
3.771589224928444395e+00,-8.333306356602921960e-01,9.571995430663669424e+00,8.997997640652934948e+00
-6.278693452006163689e+00,1.130424899140787920e+00,-5.154054602286045395e+00,8.497036831553895553e+00
-3.371509953620213107e+00,5.010055244838871324e+00,-6.372790122669672819e+00,7.219980787703628167e+00
-1.405135840157279681e+01,1.354791231589208778e+00,-8.523632259697929925e+00,6.999676326592728870e+00
-1.874645316412964613e+00,2.531708605998856942e+00,1.338537092136650175e+00,8.999999999999118927e+00
-1.964381042458786908e+01,-4.104981688940886109e+00,-2.996536338346752260e+00,8.824666048789248762e+00
2.447541902770148603e+00,2.990929362611484787e+00,-3.766021200295566196e+00,8.999971116256684667e+00
-3.574765497033524753e+00,5.235778747653777820e+00,-9.698272149606683781e-03,8.999943580824590228e+00
1.199906702983345497e+01,1.019093136044811443e+00,-4.704019260440086114e+00,8.961500922248108125e+00
6.619828187353339111e+00,-1.993440493086618082e+00,-3.192899087443157313e+00,8.996759030435017124e+00
1.005169493367708888e+01,-1.320400359313400429e+01,1.488858606359560000e+01,2.848510742125573980e-01
3.002672547941083181e+00,-1.199754371179997170e+00,-8.031888602240515596e+00,8.999935079750411404e+00
1.165740218800915962e+01,1.394265180059795917e+01,-1.911510805297108817e+00,6.176747782263301900e+00
3.313916138346049145e-01,2.006318753498570473e+00,4.224685150351651153e+00,8.999999999992471800e+00
-1.433405982858246119e+01,-3.751651186633095048e+00,-7.870850644520092088e-01,8.999639422569865488e+00
9.304261649388378075e+00,1.560499570208861719e+01,4.034707329037813039e+00,3.353842369970236437e+00
1.283732019782828182e+01,-1.596600497809849628e+01,7.985067819382750898e+00,6.952880652012715101e-01
-3.047767036257561735e+00,2.768018455956153812e+00,2.058850372378027149e+00,8.999999850715679983e+00
-3.607022743067180848e-01,-6.783000958169552064e+00,1.521981940030963321e+00,8.999999999995475619e+00
-4.690289727905159189e+00,-8.137652909512224753e+00,1.055482849438921455e+01,2.117215590536111858e+00
3.591532704924612407e+00,-1.348153717647135608e+01,-1.998328771940443005e+01,4.331901811175804973e+00
1.287688594180936397e+00,1.850643063183446957e+00,-2.796452516959310186e-01,9.000000000000637712e+00
-1.476880116455832281e+00,9.043483095160579355e-01,2.339358008567605562e+00,8.999999999990970778e+00
-1.723856709666884424e+00,-3.018099142756653919e-01,-3.564165485457774896e+00,8.999999999998083311e+00
9.696608087066451720e-01,3.480750373520061225e-01,-5.189945575020211699e-01,8.999999999999706901e+00
-4.704354755518425080e+00,-4.520454118453863801e-01,-2.261580969902966309e+00,8.999999998723460237e+00
1.008350917291232918e+01,2.249705859807280550e+00,9.854193599602865561e+00,4.856580227247149217e+00
2.602119458858446421e+00,-6.799934065033807151e+00,-4.126898889857024244e+00,8.806786009331974086e+00
8.859097414938817749e+00,-4.860443446124691036e+00,1.245717716024967103e+01,2.389754792179079157e+00
4.358653685026283142e+00,9.949901664262025491e+00,-5.755970269338455125e+00,4.736350307395360559e+00
1.309195770937423120e+01,7.925801714083577032e+00,1.284621530154840308e+01,2.821708307148429462e-02
-1.986562872338084418e+01,-9.448023474502580399e+00,-8.862112592130214850e+00,3.014932834394634664e+00
-1.689770445220872830e+00,8.257557958700095568e+00,2.596008874755031837e+00,8.999967839370842881e+00
8.935099929638047556e+00,7.447469103810628432e+00,-5.505109244098448151e+00,1.890283183698152847e+00
6.117241465535340206e-01,9.428271734969071449e-01,3.423200808326029687e+00,9.000000000003197442e+00
-1.688554729959751555e+01,1.079858035802935845e+01,-7.277492805595473513e+00,2.056623792935011075e+00
9.639552469723039252e+00,1.385564550064627021e+01,-7.935160740708179006e+00,1.557266332749583482e+00
6.743610915608229117e-01,1.411904028461102634e+00,-8.205887763831328785e-01,9.000000000001792344e+00
-5.262908995955874580e+00,2.890918483288479335e-01,-5.314492813371397339e+00,8.932089973656626825e+00
9.006286945037762948e+00,1.144335370831772458e+01,3.477878084029097483e+00,2.578795505186159520e+00
4.168316556145454044e+00,8.822095803108342960e-01,-7.227286328729925380e+00,8.974822043256924786e+00
7.377802091970675491e+00,8.165543853776158656e+00,-8.918893804089762511e+00,1.401150310968882984e+00
-4.972640262308585690e+00,-1.528869516140425944e+01,1.492241531887534656e+01,3.352847028722576006e+00
1.167726629978897712e+01,-7.117770678888648561e+00,1.278395034392664442e+00,5.284029410080213651e+00
-1.881694204100800016e-01,-1.221487505799139228e+00,-8.544438081014937847e-01,9.000000000006211920e+00
4.406970337445661912e+00,1.425353263005348303e+01,8.057650724868136161e-01,8.994967975128751903e+00
5.778853726350813069e+00,-6.607465205009965814e+00,-9.687486570133001962e+00,3.021181412741078987e+00
-1.265402652655603433e+01,2.657246934889017531e+00,8.323069010725468786e+00,4.250682934219548237e+00
-4.997306203249796686e-01,-5.488891736826164575e-02,-2.033344978947767778e+00,8.999999999997804423e+00
-2.046326445168707764e+00,7.210595601602102223e-01,1.133589635794054473e+00,8.999999999986737720e+00
-3.438486707387230723e+00,1.418367596399845709e+01,3.797603900639805019e+00,8.773991258612470645e+00
1.015010131118427950e+01,3.947618843545923184e+00,-7.549581354606948125e+00,2.814088764017467437e+00
-4.590158730193393488e+00,1.198773332295917804e+01,2.631500362829507722e+00,8.700180562022483244e+00
-2.064913289105553051e+00,-1.846442930361104295e+00,4.456099799251132865e+00,8.999999822497221302e+00
1.057865093904884368e+00,2.977659883875001245e+00,8.614019516370780005e-01,8.999999999999056755e+00
8.981040575319314101e+00,6.657934921291348562e-01,-5.037379045535450572e-01,9.000000000002664535e+00
-1.494942187238596176e+01,1.655387117651712714e+01,-1.387275665545509018e-01,8.957373348949122516e+00
1.186444670581188410e+00,-6.724162384535832260e-01,-1.489508658000894270e+00,9.000000000001183054e+00
1.498278422956981615e+01,-8.671191031051865394e+00,7.004092379483175534e-01,8.162940529195431338e+00
7.500002217830636475e+00,-5.192317536163147729e+00,-1.262037421497958967e+01,3.630377001254303959e+00
-2.682338696154860092e+00,-1.906432509960713340e+00,-3.476257139042912003e-01,8.999999999980222043e+00
1.128728449655243438e+01,4.416991772260703719e+00,-3.735090042033428759e+00,8.014113023981781936e+00
1.765260874611355035e+01,7.279494252857380276e-01,1.101749120721268405e+01,8.679674847921804215e+00
-8.516071330877847956e+00,5.327827995345345791e+00,7.320417186575151725e+00,1.850534666782327697e+00
-7.179970496774886080e+00,4.148911369116330405e+00,1.181722230380485783e+01,4.019050945583132695e+00
1.561910473726138227e+00,-1.360717977770546838e+01,-9.213160333524495371e+00,6.601053256040612993e+00
-1.724932169284429273e+00,-2.283685203684509890e+00,5.099407678382517073e-01,8.999999999995814903e+00
-8.349266886462236234e-03,1.923499727805218773e-01,-3.182443822780478548e-01,8.999999999999644729e+00
-1.456232907232815066e-01,-1.685743367459697994e+00,-1.082493459674649117e+01,8.999999999989752197e+00
-4.823160513628493185e+00,4.026766415539648314e+00,-4.812374753206920985e+00,8.013785292546428352e+00
-9.479119119933555382e+00,-3.397264250868808233e+00,-1.081507562743658291e+01,2.097464936342366304e+00
6.693339867219105344e+00,-8.507238128474652328e+00,3.359212883711984343e+00,3.373654412740883846e+00
5.030654283496566181e-01,-6.078823305473846084e-01,6.256825313557432544e-01,9.000000000000692779e+00
4.166885254752420442e-01,-6.101580272299590713e-02,6.076766905360840576e-02,8.999999999999733546e+00
1.809010267804950445e+01,-2.446843999783612222e+00,1.610310321777733478e+01,6.226226242765948271e+00
-1.109863378543300882e+01,-1.044823020199179453e+01,-9.093934868172709685e+00,8.653817370964108635e-01
6.912432061069001543e-01,2.126067153213909711e-01,1.355131638712525843e+00,8.999999999997998046e+00
2.572368982348398614e-01,8.692949779519819342e-02,1.412556212377587272e-01,8.999999999999278799e+00
4.866555032682344795e+00,-4.419424091569021940e+00,-2.164914367359925151e+00,8.972020395988312913e+00
1.406213994178967397e+01,6.806262095357514141e+00,1.599463089415003836e+01,9.876233034980635983e-01
9.318520637497448078e+00,1.181325703910263947e+01,1.370235757826108625e+01,4.394402763922738431e-01
-8.557586441762861540e+00,7.782473483299407135e+00,1.100405888559644119e+01,1.261521315318582248e+00
2.080175372548929857e+01,-3.141472614373552297e+00,6.536628033806959337e+00,6.002856149698073018e+00
2.010180620990745126e+00,5.418593142399959817e+00,5.546265568575340588e+00,8.383122131490077678e+00
1.511513471909640971e-01,-1.746039199689510824e+00,-1.552416775472297727e+00,8.999999999999431566e+00
4.927191940757975175e+00,3.016260002457734846e+00,1.224196091697144162e+01,8.136849309105100403e+00
-1.039256068106453462e-01,3.797353399779673788e-01,-2.436876933368556930e-01,8.999999999998214761e+00
-1.443900400658444916e+01,-6.588636735682573686e+00,-4.872399127688995968e+00,4.724525793719420719e+00
-5.696507058735443552e-03,-7.420013887520032769e-01,-1.278935225737451997e+00,9.000000000000373035e+00
4.138737286154760220e+00,9.714401780120686780e+00,-1.314186977818323676e+01,2.325678262959065101e+00
1.209804010270623920e+01,1.651670997157811982e+01,1.283928135616834076e+01,5.251653483760245766e-01
5.967409334717169861e-02,-1.692570232941376984e+00,3.013668946120092951e+00,9.000000000000438760e+00
1.160236401146310747e+01,-1.369930368412620325e+01,-8.317304889221681208e+00,4.982137465680983590e-01
1.478067077809713048e+01,1.047163405622967325e+01,-1.067709754969274449e+01,8.862045062492449610e-01
-1.859606207073413131e+01,1.367425636001767764e+01,-7.699171620032392305e+00,1.161422618183598487e+00
1.503771971371725413e-01,6.202022092698057598e+00,-4.829312705991786747e-01,8.999999999976683540e+00
-2.573775385804373705e+00,-3.363145361945093281e+00,-2.311922337838449248e+00,8.999999336473079481e+00
-9.457404045523311709e+00,1.110292902917282021e+01,5.408576268690454825e+00,8.325562272627338167e-01
-7.546665459490088601e+00,-2.539776446500964235e-01,7.912869597799054411e+00,7.549289393223375555e+00
-7.057522774791205045e+00,1.493535690670601745e+01,6.963957910348317348e+00,3.748963082164308958e+00
1.617428407410882035e-02,4.302122204391508470e-02,-3.958174884269599625e-02,8.999999999999863221e+00
-3.228054457748906536e+00,1.790571032161466958e+00,-3.840396344392887240e+00,8.999991998835655593e+00
-1.699370723668811811e+00,-1.563759964288327531e+00,-1.190749417530565424e+01,8.999999895091614022e+00
3.380121134848405262e+00,-3.475564386654950599e+00,-3.609810202011546121e+00,8.997739929920308910e+00
-6.940005463204905745e+00,-4.022389637090050485e+00,-3.056453496102768508e+00,8.717981205711756942e+00
-1.771766099447103782e-01,9.163819096515060658e-02,-8.128012241248680492e-02,9.000000000000870415e+00
-4.647864450748637744e+00,-1.282873263516206563e+01,3.254048341117458776e+00,8.249548194745194962e+00
2.361807448713621263e-02,4.206260390130265314e+00,3.765524210730195165e+00,8.999996036358323792e+00
-4.976971131664042147e+00,-2.105603615004997486e+00,-1.368630305004042746e+01,8.705623171548174000e+00
-2.933478228835432411e+00,-1.298767921456358998e+00,2.002709991305834603e+00,9.000000000000561329e+00
2.339848587864343521e-01,2.180811754535859071e-01,-2.215634211444656443e-01,8.999999999996765254e+00
-6.423258411325036832e+00,1.603417945197901773e+01,2.600757013728328015e+00,6.348442091039807167e+00
1.514171809580202865e-01,-2.324862281783426077e-01,-5.124248019135333898e+00,8.999999999963721464e+00
1.280051699991770420e+01,-1.419033650480424491e+01,2.660661535165357083e+00,5.171098274623074253e+00
5.302106434864375828e+00,-4.434074398367683578e+00,-8.520278042630039517e-01,8.992039150792425772e+00
-4.985242592710537046e-02,-1.082615992157574647e+00,-1.967290956940311641e+00,9.000000000003019807e+00
-3.524951718030278069e+00,-3.164982732640069241e+00,-7.850428993971955371e+00,8.908586175950119923e+00
-2.143392865533672520e+01,2.908455875753012343e+00,-1.104872139099659867e+00,8.999982979413472250e+00
-4.249773914658440788e+00,-3.317481634046196337e+00,1.569150185060055236e+01,8.600367843805118540e+00
4.331869512904515496e+00,-2.582094130903134221e+00,-2.273637855621865267e+00,8.999983975969689354e+00
-6.221327473179000478e+00,-8.459445768766522988e+00,3.234018060796466365e+00,4.649610493515671017e+00
-6.413160862388126660e+00,-1.300689155439268241e+01,1.968491544571861596e+01,2.116185120336593783e+00
2.303264662116472650e+01,6.241541519437964425e+00,6.061350526640679526e+00,5.170711183955122081e+00
