x1,x2,x3,O_XZ
-4.859651779526968696e+00,-1.686295342820564258e+00,-8.096373413701432042e-01,9.997383421553873717e-01
3.835830028565420324e+00,-7.572179829259122030e+00,4.589997618802944324e+00,8.483209627330147162e-01
-1.842756315000083411e+00,4.292962821680300856e+00,-6.193102624614131635e+00,9.493540210168738280e-01
4.064870550553298045e+00,-2.283741442237165575e+00,-1.786894639541004359e+00,9.988116572696931206e-01
-5.963024761664956763e-01,-5.403380791737564692e+00,1.484648898974418429e+01,7.686553607390932408e-01
-2.025394787376124217e+00,2.567401407434705796e+00,-1.411685419241074335e+01,9.942741137846298205e-01
-5.815254250418012916e+00,-8.226274107776978539e+00,5.988933755018715388e+00,3.807305415583089880e-01
-2.922150101138557332e+00,2.273664219623687188e+01,-7.381807555774872576e+00,3.498018341992806812e-01
2.455465226897115016e+01,-1.611796107001675793e+01,1.725515627819066866e+00,6.922323196181940676e-03
1.863567824045426979e+00,1.341775432812999602e+00,1.659012442523712716e+00,9.999894535141453655e-01
-3.596024353040065513e+00,-8.356187493480415895e+00,1.357674357175753066e+01,3.993127454037291302e-01
2.500584556870131259e+00,7.120020425827437549e+00,1.060687422895998822e+01,1.117511711108589850e-01
3.501356378174774520e+00,3.517042365349710042e+00,-3.940380582569876555e+00,9.778977974285454344e-01
7.820190361721934824e-01,4.326818339373817324e+00,-3.308884805462954493e+00,9.949528000762548618e-01
6.607619933376586374e+00,5.474638789524628457e+00,5.920604809304141902e+00,1.918896205809292876e-01
-4.519008070446325576e+00,5.929636774342408323e-01,1.811484330256296360e+01,9.177620809443149952e-01
7.077499696124801565e-01,-5.665407523243021215e-02,-3.888952005479814344e-01,9.999999999997264410e-01
-2.834339412107771139e+01,7.640558691362953958e+00,-4.836543527584519220e-01,4.027195491020723050e-01
2.728204972997989231e+01,-5.117629002412424022e+00,1.050540286611297169e+01,1.743140197373162226e-01
3.969616490469783932e-01,1.603313712865688911e+00,1.546319422303031599e-01,9.999999999223769809e-01
7.689582794554755907e+00,-2.366391546697089954e+00,-1.726704195366708561e+01,2.894091048154535106e-01
-1.779379092353460479e+01,7.870325563717868178e+00,1.588888217274784509e+01,4.812121825440897338e-02
1.192709106185088785e+01,8.134774391113779757e+00,-1.354851783625982797e+01,1.494057001618328828e-01
-1.913466532598736336e+01,-1.367865706695099703e+01,6.340000721129510630e+00,1.627805757050920094e-02
1.754862937678652912e+01,1.824629643129440026e+01,-9.021697711160058475e+00,7.408699548584908763e-03
-1.185797234901000685e+01,-3.943840498547951157e+00,-1.211674911747620875e+01,2.604767730927561985e-04
7.013968540880005875e+00,9.438483794313137665e+00,-9.525557911873077543e+00,2.453748463048122108e-01
1.594426402065409309e+00,1.474259399673645277e+00,1.896484097383421830e-01,9.999997342460308358e-01
1.550367658026209483e+01,-1.454408289375657759e+01,1.256203310518419691e+01,1.623029216966779403e-02
-8.709652704110155241e+00,-3.792252457491845696e+00,4.502522763007545947e+00,7.670489881754436468e-01
4.128180623803053284e-01,1.623124237477460818e+00,2.178091426758682392e+00,9.999965858342773073e-01
-1.431681369409012206e+01,2.394621257282673099e+01,3.036435319336914684e+00,2.287125654231377501e-03
2.632404047783587941e+00,2.600058012211281167e+01,-4.931398561270906811e+00,8.217046959289997510e-01
-5.440653761833998736e+00,1.501720896836991237e+01,-3.190249311051057024e+00,6.620813881903953035e-01
4.491776870510918229e+00,-8.982454272665631123e+00,8.902336876812787514e-01,9.095691472187213966e-01
3.456437803732562930e+00,3.603509583460620114e+00,-5.924189911074148718e+00,9.618683852275066171e-01
2.474312233813994677e+00,8.174725106120209972e+00,-1.243428434748798672e+01,4.130727222072348437e-01
-6.006117078520432084e-01,5.890471939868273665e-01,-9.573821499154372416e-01,9.999999992219941181e-01
1.251970036101323291e+00,1.175520711050242717e+01,-2.418807728779368116e+00,9.951213620609139499e-01
-1.315687428493637334e+01,-1.411340342626194655e+01,-4.706340102871111597e+00,2.219633187039937673e-04
6.489478328452753519e-01,7.686819406834799473e+00,-2.439362689756858771e+01,3.945077318169860070e-01
-1.008130704691052815e+00,-4.219937517371358027e+00,-2.290166725840959039e+00,9.989383016498869505e-01
-1.394527856696544710e+01,-1.444242738051225139e+01,-2.222416088022605152e+01,2.794225715534370477e-03
1.593691634433713533e+00,5.574390417581932766e+00,2.329116410319541419e+00,9.955394397369976556e-01
-1.279296568896980846e+00,-2.144966654185133659e-01,2.538201996458177678e+00,9.999988026905222149e-01
9.537304603417933180e+00,-2.726244594631209495e+01,6.738039495637972109e+00,2.542483162195713353e-01
4.624708830807179538e+00,-1.264678936667458586e+01,7.342712065017892975e+00,4.507160737005641016e-01
-8.553104515512696793e+00,-6.165756728309470525e+00,-4.714728976248634684e-02,4.971221840664403757e-01
-1.463373373172575675e+01,-5.832886385736530954e+00,2.507957287552519077e+01,6.951168329119336575e-02
-2.499602746135541409e+01,-1.343798843270473720e+00,4.736375701278930705e+00,9.190163388075726081e-01
-8.727436319436447931e+00,-1.186543252163524187e+00,5.317732662087765405e+00,8.587652796226566965e-01
-4.731525938669451925e+00,-1.783329396800402833e+01,-1.257232798996595058e+01,1.922902190170972545e-04
5.931989224595883847e-01,6.100552816759251762e+00,-1.387625908662846852e+00,9.999032324439982578e-01
-4.967097997454475333e+00,-1.021191907712855063e+00,-7.741147628833565442e+00,8.069726570180129066e-01
-5.277280848185244011e+00,-4.790103627457763302e+00,2.468898229032181035e+00,8.745430382573244898e-01
5.069960985533271902e+00,4.835252529064726801e+00,3.638396058092978613e+00,7.958827588621701921e-01
9.750537494359617918e-01,-1.752105024116992738e+01,-1.428775787430066124e+01,2.192906024132676435e-03
2.131201052561443632e+01,-3.529083137068414366e+00,-1.985729774090473043e+01,6.823197544011080570e-03
-2.318074171977379638e+00,2.963995734269727578e+01,3.671563348685436434e+00,9.663572897564876030e-01
7.593637469063979628e-02,4.721111563131806244e-01,6.699942859184550292e-02,9.999999999997875033e-01
1.329630575896799805e+01,-1.328373212550285665e+01,-9.271833601796885205e+00,8.067283255025231581e-02
2.877320583789393638e+01,4.483907099247323558e+00,3.512358112515362230e+00,7.469409853754630513e-01
-3.744241426985915222e+00,-5.123225204459664006e+00,2.231076876408887522e+00,9.597790661830565284e-01
1.762224147654855244e+01,8.066467019327339116e+00,-7.947409056776282732e+00,1.056284827408189297e-01
-1.671189320976361614e+01,-1.308600024625776115e+01,-9.059199758320408691e+00,6.872924023559297615e-04
6.323637544824158851e+00,-1.425101283508122485e+01,3.189199651325898444e+00,5.437763583699424252e-01
4.609850082237500146e+00,1.193049006410910984e+01,-6.074523629072881015e+00,3.145814026810915820e-01
6.960024613180459951e+00,2.576613754496978191e-04,-2.858942016649849194e+01,5.387152929998170192e-01
4.016358065125142929e+00,3.570808152827251170e-01,1.406862344270646936e+00,9.999781016092194053e-01
1.745892343367238198e+01,9.768317879050252728e+00,-8.663920940139744786e+00,4.525310148714527247e-02
-1.171098541617679167e+01,2.336136343189338760e+01,1.058725690385823626e+01,3.960666182153828319e-03
