x1,x2,x3,O_Sum
-1.295907141207191948e+01,-4.496787580854838318e+00,-2.159032910320382026e+00,8.999999999978513188e+00
1.022888007617445361e+01,-2.019247954469098971e+01,1.223999365014118546e+01,8.999975253269326458e+00
-4.914016840000222430e+00,1.144790085781413680e+01,-1.651494033230435221e+01,8.999999997642360583e+00
1.083965480147546145e+01,-6.089977179299108201e+00,-4.765052372109344958e+00,8.999999998144531332e+00
-1.590139936443988100e+00,-1.440901544463350348e+01,3.959063730598448672e+01,9.000000000050231819e+00
-5.401052766336332134e+00,6.846403753159214567e+00,-3.764494451309531797e+01,8.999999937727334753e+00
-1.550734466778136955e+01,-2.193673095407194040e+01,1.597049001338324281e+01,8.967855909430639372e+00
-7.792400269702818960e+00,6.063104585663165835e+01,-1.968482014873299235e+01,8.999999999702060549e+00
6.547907271725638623e+01,-4.298122952004468544e+01,4.601375007517511051e+00,8.999999999796864714e+00
4.969514197454472537e+00,3.578067820834665458e+00,4.424033180063233317e+00,9.000000000011354473e+00
-9.589398274773508035e+00,-2.228316664928110669e+01,3.620464952468675079e+01,8.999993683884941476e+00
6.668225484987016394e+00,1.898672113553983110e+01,2.828499794389330191e+01,8.999999981249711567e+00
9.336950341799401087e+00,9.378779640932560113e+00,-1.050768155351967081e+01,8.999669070268113913e+00
2.085384096459182768e+00,1.153818223833018131e+01,-8.823692814567879239e+00,8.999999999909242376e+00
1.762031982233756366e+01,1.459903677206567529e+01,1.578827949147771115e+01,8.603168998978150128e+00
-1.205068818785686879e+01,1.581236473157975553e+00,4.830624880683457434e+01,8.993403923776327247e+00
1.887333252299947084e+00,-1.510775339531472417e-01,-1.037053868127950640e+00,8.999999999999690914e+00
-7.558238432287389230e+01,2.037482317696787604e+01,-1.289744940689204977e+00,8.999999999975305087e+00
7.275213261327972702e+01,-1.364701067309979798e+01,2.801440764296792807e+01,5.555712080425877275e+00
1.058564397458608974e+00,4.275503234308503764e+00,4.123518459474750930e-01,8.999999999999483080e+00
2.050555411881268242e+01,-6.310377457858907135e+00,-4.604544520977889732e+01,6.218632928918759184e+00
-4.745010912942561276e+01,2.098753483658098418e+01,4.237035246066091787e+01,1.449181295403896043e-02
3.180557616493570094e+01,2.169273170963674957e+01,-3.612938089669287223e+01,8.503266516412407716e-01
-5.102577420263297370e+01,-3.647641884520265876e+01,1.690666858967869501e+01,8.878157843744851618e+00
4.679634500476409187e+01,4.865679048345174351e+01,-2.405786056309348808e+01,8.251751976661207522e+00
-3.162125959736001590e+01,-1.051690799612787153e+01,-3.231133097993655667e+01,6.651819277239227890e-02
1.870391610901334900e+01,2.516929011816836947e+01,-2.540148776499487582e+01,8.513170915962142260e+00
4.251803738841090308e+00,3.931358399129720738e+00,5.057290926355790806e-01,8.999999999985995203e+00
4.134313754736558622e+01,-3.878422105001754261e+01,3.349875494715785607e+01,3.512978018129713220e+00
-2.322574054429374968e+01,-1.011267321997825519e+01,1.200672736802012253e+01,8.959365138608502477e+00
1.100848166347480950e+00,4.328331299939895516e+00,5.808243804689819711e+00,8.999999999999623412e+00
-3.817816985090699688e+01,6.385656686087127554e+01,8.097160851565107009e+00,8.999999989167601910e+00
7.019744127422901769e+00,6.933488032563417391e+01,-1.315039616338908601e+01,8.999999999882835056e+00
-1.450841003155733056e+01,4.004589058231975685e+01,-8.507331496136151472e+00,9.000000000012821744e+00
1.197807165469578017e+01,-2.395321139377501396e+01,2.373956500483410004e+00,9.000000000005922374e+00
9.217167476620165445e+00,9.609358889228319711e+00,-1.579783976286439540e+01,8.997661856863908625e+00
6.598165956837320323e+00,2.179926694965389444e+01,-3.315809159330130029e+01,8.999999996559147064e+00
-1.601631220938781963e+00,1.570792517298206459e+00,-2.553019066441165830e+00,9.000000000003536726e+00
3.338586762936861518e+00,3.134721896133979868e+01,-6.450153943411646829e+00,9.000000000209706030e+00
-3.508499809316365514e+01,-3.763574247003185747e+01,-1.255024027432296307e+01,8.995924501654803507e+00
1.730527554254067901e+00,2.049818508489279978e+01,-6.504967172684958143e+01,9.000000000001216804e+00
-2.688348545842807358e+00,-1.125316671299028748e+01,-6.107111268909223512e+00,9.000000000106195941e+00
-3.718740951190785182e+01,-3.851313968136599897e+01,-5.926442901393613027e+01,1.730586811244606116e+00
4.249844358489903051e+00,1.486504111355182189e+01,6.210977094185444969e+00,9.000000000040852655e+00
-3.411457517058615441e+00,-5.719911077827022350e-01,6.768538657221807142e+00,8.999999999915955229e+00
2.543281227578115278e+01,-7.269985585683224372e+01,1.796810532170125896e+01,8.999999947172408810e+00
1.233255688215247758e+01,-3.372477164446555520e+01,1.958056550671437890e+01,8.999908189362086475e+00
-2.280827870803385693e+01,-1.644201794215858925e+01,-1.257261060332969249e-01,8.999999999999795719e+00
-3.902328995126867994e+01,-1.555436369529741647e+01,6.687886100140049450e+01,2.453726901948565242e-01
-6.665607323028109477e+01,-3.583463582054596142e+00,1.263033520341048188e+01,8.999999894114099064e+00
-2.327316351849719567e+01,-3.164115339102731461e+00,1.418062043223404167e+01,8.978386318763082130e+00
-1.261740250311853906e+01,-4.755545058134408265e+01,-3.352620797324253488e+01,8.999981645812772157e+00
1.581863793225569248e+00,1.626814084469134158e+01,-3.700335756434258716e+00,9.000000000199948502e+00
-1.324559465987860207e+01,-2.723178420567613056e+00,-2.064306034355617214e+01,8.920402806829203612e+00
-1.407274892849398462e+01,-1.277360967322070096e+01,6.583728610752483057e+00,8.999996746616131915e+00
1.351989596142205663e+01,1.289400674417260362e+01,9.702389488247943561e+00,8.998293836219000141e+00
2.600143331829231297e+00,-4.672280064311981107e+01,-3.810068766480176095e+01,8.999999999998676614e+00
5.683202806830517062e+01,-9.410888365515772236e+00,-5.295279397574594782e+01,7.876894261275423775e-04
-6.181531125273012073e+00,7.903988624719272593e+01,9.790835596494497750e+00,8.999999998755466635e+00
2.024969991750394382e-01,1.258963083501815072e+00,1.786651429115879985e-01,9.000000000002881251e+00
3.545681535724799716e+01,-3.542328566800761536e+01,-2.472488960479169506e+01,7.491040212166571344e+00
7.672854890105048753e+01,1.195708559799286341e+01,9.366288300040965353e+00,8.999999804756578570e+00
-9.984643805295775110e+00,-1.366193387855910579e+01,5.949538337090367612e+00,8.999999991228289531e+00
4.699264393746280177e+01,2.151057871820623646e+01,-2.119309081807008610e+01,8.180758558446733275e+00
-4.456504855936963594e+01,-3.489600065668736306e+01,-2.415786602218775769e+01,7.232658753919419148e+00
1.686303345286442479e+01,-3.800270089354992820e+01,8.504532403535728591e+00,8.999999999340275281e+00
1.229293355263333254e+01,3.181464017095762387e+01,-1.619872967752768389e+01,8.999975721073322887e+00
1.856006563514789676e+01,6.870970011991941843e-04,-7.623845377732931183e+01,8.864608546493812469e+00
1.071028817366704899e+01,9.522155074206003489e-01,3.751632918055058941e+00,9.000000000064209971e+00
4.655712915645968764e+01,2.604884767746733942e+01,-2.310378917370598373e+01,7.218723445259802141e+00
-3.122929444313811231e+01,6.229696915171570737e+01,2.823268507695529905e+01,8.957273263112936590e+00
4.441666625663863499e+01,5.275052832494316668e+00,6.620782059429996025e+01,3.879720619355229716e-01
-3.443106663380237364e+01,-6.658334695573077333e+00,9.059594620895106587e+00,8.999992132137590417e+00
-1.268116447210192455e-01,-9.788725015211389158e-01,-4.733685337570840979e+00,9.000000000027425173e+00
-2.939960037772095092e+01,-4.126892072481245677e+00,-2.728492004846078700e+01,5.017669216978587476e-01
2.765036102983921040e+01,-4.525228041301069482e+01,-4.131307278937018168e+01,7.440905428663100452e+00
3.271573239942119926e+01,-5.269119139033649191e+01,-4.155063318758870139e+01,7.066160003157714975e+00
-6.383145871809318095e+01,1.255035570953022273e+01,1.196871806142975458e+01,8.999977943113348644e+00
-5.501439574021565804e+00,-8.708394097851646976e+00,2.936891317776123778e+00,9.000000000135235823e+00
2.134480483845793941e+01,2.604506223597966041e+01,2.324941490548776457e+01,8.201416115589942990e+00
-5.914096564842691528e+00,1.305594323562647752e+01,2.803140818419648461e+00,8.999999999999175770e+00
1.218507622783727484e+01,2.933558046803758756e+01,5.161951141370801821e+01,8.999968986056781972e+00
-2.391245853210759620e+01,4.092025246244996595e+01,1.695022891358759054e+01,8.997197801855113752e+00
-6.900908009589688419e+00,1.078747526432611986e-01,6.691025793695515311e+00,8.999999999889334745e+00
3.679943788612097144e+00,4.165472798847850378e+00,-1.917734857224842671e+01,8.999999999957118746e+00
-4.381981164263934581e+00,3.901685151131618401e+00,-2.177188142502179247e+01,8.999999997726364498e+00
6.398416529275494469e+01,-1.733760362949839617e+01,-1.432042030987091152e+00,9.000000000318989279e+00
9.113638669141758797e+00,1.997116308772719506e+01,1.977707508705428197e+01,8.999947105530289093e+00
4.028082186609818760e-01,-2.474789810945543778e+01,2.363157434811411939e+00,9.000000000000515143e+00
-6.964455175485279037e-01,-5.448715502936585686e+00,-1.495034647571844211e+01,8.999999999884158441e+00
2.166434394011868037e+01,1.771719157996044558e+01,-3.185107528456530446e+01,6.137469610208548865e+00
-5.344794907570547121e-02,-1.157523811636504592e-02,-1.683751979809500546e-02,8.999999999999845457e+00
-5.732767567813484533e+01,5.002713180038117713e+01,-7.964834911605620960e+00,8.999995497872767203e+00
-1.857583382339036637e+00,-1.320830744616876729e+01,-8.555558562317127524e+00,8.999999999782252402e+00
-1.058831656979856817e+00,2.092893498406846575e+01,-6.907695283392878594e+01,8.999999999645789117e+00
-2.726915146731147388e+01,2.326178442014509429e+01,3.479745684178259779e+01,3.411112448930930352e+00
2.854601275665241467e+00,3.149242431157471245e+01,5.098188544069220285e+00,8.999999999968126829e+00
5.018788090385339018e+01,8.372154283089768612e+00,3.528940606536662727e+01,2.772893100285362886e-02
-8.145404185799406394e-01,-8.184933019641487562e+00,2.085604367908078061e+01,9.000000000093706376e+00
-2.136205165214609902e+00,-7.864058951916349516e-01,-1.887939157433701887e+00,9.000000000015317525e+00
-6.341354904508943946e+01,-2.482859314126620376e+01,-3.138031754759549230e+01,2.602517076107068728e-01
-4.721699637094762814e-01,5.653410635470139312e+01,-1.538283847126083970e+01,8.999999999999889866e+00
