x1,x2,x3,O_XZ
-8.099419632544949010e+00,-2.810492238034274060e+00,-1.349395568950238822e+00,9.999999999994496624e-01
6.393050047609034614e+00,-1.262029971543186946e+01,7.649996031338240243e+00,9.999999999958892882e-01
-3.071260525000139019e+00,7.154938036133835055e+00,-1.032183770769021969e+01,9.999999999998259170e-01
6.774784250922162521e+00,-3.806235737061941737e+00,-2.978157732568340599e+00,9.999999999939579443e-01
-9.938374602774927569e-01,-9.005634652895940562e+00,2.474414831624030597e+01,1.000000000005924816e+00
-3.375657978960207473e+00,4.279002345724509659e+00,-2.352809032068457284e+01,9.999999999994300115e-01
-9.692090417363353083e+00,-1.371045684629496186e+01,9.981556258364525647e+00,9.999996478801012056e-01
-4.870250168564261628e+00,3.789440366039478647e+01,-1.230301259295812066e+01,9.999999999907374093e-01
4.092442044828525383e+01,-2.686326845002793107e+01,2.875859379698444851e+00,9.999999999976887377e-01
3.105946373409044892e+00,2.236292388021666078e+00,2.765020737539521267e+00,1.000000000000847322e+00
-5.993373921733441634e+00,-1.392697915580069079e+01,2.262790595292921481e+01,9.999999998309403448e-01
4.167640928116885135e+00,1.186670070971239355e+01,1.767812371493331369e+01,9.999999999816753249e-01
5.835593963624624791e+00,5.861737275582850515e+00,-6.567300970949794703e+00,9.999999999935095252e-01
1.303365060286989507e+00,7.211363898956363094e+00,-5.514808009104925191e+00,9.999999999965483166e-01
1.101269988896097729e+01,9.124397982541045948e+00,9.867674682173568357e+00,9.999818593731975014e-01
-7.531680117410543218e+00,9.882727957237346095e-01,3.019140550427160719e+01,9.999999531451349011e-01
1.179583282687467038e+00,-9.442345872071701562e-02,-6.481586675799690944e-01,1.000000000000006217e+00
-4.723899020179617736e+01,1.273426448560492119e+01,-8.060905879307530553e-01,9.999999999988495869e-01
4.547008288329981696e+01,-8.529381670687374850e+00,1.750900477685495460e+01,6.809564500770737272e-01
6.616027484116308033e-01,2.672189521442815074e+00,2.577199037171719609e-01,9.999999999999464873e-01
1.281597132425792651e+01,-3.943985911161817182e+00,-2.877840325611180816e+01,9.698295836816451798e-01
-2.965631820589100798e+01,1.311720927286311422e+01,2.648147028791307633e+01,1.355857243154483249e-02
1.987848510308480954e+01,1.355795731852296804e+01,-2.258086306043304603e+01,2.292323323527255541e-01
-3.189110887664560678e+01,-2.279776177825166172e+01,1.056666786854918350e+01,9.997824527956684637e-01
2.924771562797755564e+01,3.041049405215733969e+01,-1.503616285193343138e+01,9.703488965534196042e-01
-1.976328724835001083e+01,-6.573067497579918594e+00,-2.019458186246034970e+01,2.319736567335296124e-02
1.168994756813334490e+01,1.573080632385523003e+01,-1.587592985312179827e+01,9.992710940086664273e-01
2.657377336775681442e+00,2.457098999456075461e+00,3.160806828972369531e-01,9.999999999996913580e-01
2.583946096710349138e+01,-2.424013815626096502e+01,2.093672184197366093e+01,5.644422646962283796e-01
-1.451608784018359444e+01,-6.320420762486410382e+00,7.504204605012576579e+00,9.999986608055962956e-01
6.880301039671755658e-01,2.705207062462434919e+00,3.630152377931137320e+00,1.000000000000030198e+00
-2.386135615681687128e+01,3.991035428804455165e+01,5.060725532228191881e+00,9.999999999896971303e-01
4.387340079639313828e+00,4.333430020352136580e+01,-8.218997602118179202e+00,9.999999999953681495e-01
-9.067756269723332707e+00,2.502868161394984980e+01,-5.317082185085094892e+00,1.000000000001361133e+00
7.486294784184863715e+00,-1.497075712110938639e+01,1.483722812802131363e+00,1.000000000001878941e+00
5.760729672887603847e+00,6.005849305767699597e+00,-9.873649851790247567e+00,9.999999998109470045e-01
4.123853723023325202e+00,1.362454184353368269e+01,-2.072380724581331179e+01,9.999999999655101446e-01
-1.001019513086738533e+00,9.817453233113789812e-01,-1.595636916525728699e+00,1.000000000000454525e+00
2.086616726835538671e+00,1.959201185083737684e+01,-4.031346214632280045e+00,1.000000000010071499e+00
-2.192812380822728358e+01,-2.352233904376990736e+01,-7.843900171451851477e+00,9.999998028347512058e-01
1.081579721408792327e+00,1.281136567805800119e+01,-4.065604482928097951e+01,1.000000000000062172e+00
-1.680217841151754543e+00,-7.033229195618930341e+00,-3.816944543068264917e+00,1.000000000005223599e+00
-2.324213094494240650e+01,-2.407071230085375291e+01,-3.704026813371007876e+01,5.188771594321623937e-01
2.656152724056189740e+00,9.290650695969889128e+00,3.881860683865903106e+00,1.000000000001505018e+00
-2.132160948161634373e+00,-3.574944423641889801e-01,4.230336660763629908e+00,9.999999999968717246e-01
1.589550767236322137e+01,-4.543740991052015943e+01,1.123006582606328685e+01,1.000000000011695978e+00
7.707848051345298934e+00,-2.107798227779097644e+01,1.223785344169648859e+01,9.999999995975754619e-01
-1.425517419252115836e+01,-1.027626121384911784e+01,-7.857881627081056419e-02,1.000000000000017542e+00
-2.438955621954292496e+01,-9.721477309560885516e+00,4.179928812587531439e+01,1.904087275877422991e-01
-4.166004576892569133e+01,-2.239664738784122644e+00,7.893959502131551176e+00,9.999996465959168912e-01
-1.454572719906074596e+01,-1.977572086939207052e+00,8.862887770146274491e+00,9.999680636808663259e-01
-7.885876564449087134e+00,-2.972215661334004722e+01,-2.095387998327658607e+01,9.999999994969031025e-01
9.886648707659805302e-01,1.016758802793208716e+01,-2.312709847771411198e+00,1.000000000009136913e+00
-8.278496662424126740e+00,-1.701986512854758216e+00,-1.290191271472260937e+01,9.999921572135530567e-01
-8.795468080308742387e+00,-7.983506045762939429e+00,4.114830381720302022e+00,1.000000000003409495e+00
8.449934975888785615e+00,8.058754215107876817e+00,6.063993430154964059e+00,9.999999999518489613e-01
1.625089582393269394e+00,-2.920175040194988014e+01,-2.381292979050109793e+01,1.000000000000015765e+00
3.552001754269073075e+01,-5.881805228447357869e+00,-3.309549623484121383e+01,3.663680254300109504e-03
-3.863456953295632434e+00,4.939992890449546081e+01,6.119272247809060872e+00,9.999999999510946758e-01
1.265606244843996697e-01,7.868519271886343924e-01,1.116657143197424956e-01,1.000000000000183409e+00
2.216050959828000089e+01,-2.213955354250476049e+01,-1.545305600299480986e+01,9.506466774692624577e-01
4.795534306315655471e+01,7.473178498745538967e+00,5.853930187525603124e+00,9.999999999748567792e-01
-6.240402378309858555e+00,-8.538708674099440898e+00,3.718461460681479647e+00,9.999999999951227903e-01
